Trading_Code,Date,Open,High,Low,Close,Volume
SQURPHARMA,2022-05-16,223.2,223.2,221.0,221.4,427581.0
SQURPHARMA,2022-05-17,222.0,222.8,217.0,220.5,524946.0
SQURPHARMA,2022-05-18,220.1,220.2,216.5,217.5,370915.0
SQURPHARMA,2022-05-19,217.0,217.5,213.5,215.1,394271.0
SQURPHARMA,2022-05-22,215.1,215.9,212.3,213.8,253293.0
SQURPHARMA,2022-05-23,216.7,216.7,212.0,212.4,721556.0
SQURPHARMA,2022-05-24,211.6,211.9,209.3,211.1,556294.0
SQURPHARMA,2022-05-25,211.1,212.8,210.0,211.5,589058.0
SQURPHARMA,2022-05-26,210.5,212.0,209.8,211.7,413262.0
SQURPHARMA,2022-05-29,214.0,217.1,213.2,216.5,375768.0
SQURPHARMA,2022-05-30,216.4,216.9,215.0,215.8,359551.0
SQURPHARMA,2022-05-31,217.8,218.3,215.1,216.1,598231.0
SQURPHARMA,2022-06-01,216.0,216.2,215.0,215.8,255608.0
SQURPHARMA,2022-06-02,228.0,232.8,226.7,232.2,1090401.0
SQURPHARMA,2022-06-03,218.1,218.1,216.7,216.9,155060.0
SQURPHARMA,2022-06-04,219.4,220.9,217.9,218.4,112545.0
SQURPHARMA,2022-06-06,221.2,221.2,217.6,218.3,180578.0
SQURPHARMA,2022-06-07,215.4,215.8,214.6,215.1,155903.0
SQURPHARMA,2022-06-13,216.5,216.5,214.5,215.4,128327.0
SQURPHARMA,2022-06-14,216.0,216.5,213.6,214.2,273331.0
SQURPHARMA,2022-06-15,215.9,215.9,212.6,213.3,517282.0
SQURPHARMA,2022-06-16,213.6,216.6,213.6,215.7,467839.0
SQURPHARMA,2022-06-19,216.4,216.4,214.6,214.9,139569.0
SQURPHARMA,2022-06-20,215.5,215.8,214.0,214.7,297767.0
SQURPHARMA,2022-06-21,214.3,216.2,213.9,215.3,245932.0
SQURPHARMA,2022-06-22,216.0,216.1,214.5,215.0,682028.0
SQURPHARMA,2022-06-23,215.8,215.8,214.6,215.0,215981.0
SQURPHARMA,2022-06-26,215.5,216.0,214.7,215.8,336352.0
SQURPHARMA,2022-06-27,215.0,215.9,214.6,215.8,407444.0
SQURPHARMA,2022-06-28,216.0,217.5,215.9,217.2,430790.0
SQURPHARMA,2022-06-29,217.0,218.2,216.6,218.0,354071.0
SQURPHARMA,2022-06-30,216.8,218.6,214.7,216.7,1146540.0
SQURPHARMA,2022-07-02,233.9,235.6,230.5,231.1,948436.0
SQURPHARMA,2022-07-03,217.1,217.1,212.0,212.3,498199.0
SQURPHARMA,2022-07-04,218.1,223.0,217.5,221.4,343780.0
SQURPHARMA,2022-07-06,218.8,219.5,218.0,218.6,148956.0
SQURPHARMA,2022-07-07,215.0,215.7,214.6,215.1,182696.0
SQURPHARMA,2022-07-13,215.0,215.8,214.7,214.9,143787.0
SQURPHARMA,2022-07-14,214.7,215.0,213.5,214.7,134963.0
SQURPHARMA,2022-07-17,214.5,215.3,214.3,215.1,152154.0
SQURPHARMA,2022-07-18,214.9,215.1,213.0,213.2,286549.0
SQURPHARMA,2022-07-19,212.3,213.5,209.0,212.8,323595.0
SQURPHARMA,2022-07-20,211.0,214.4,210.2,212.9,270550.0
SQURPHARMA,2022-07-21,214.9,214.9,211.7,212.2,316008.0
SQURPHARMA,2022-07-24,212.3,212.3,209.8,210.1,205817.0
SQURPHARMA,2022-07-25,209.1,210.7,209.0,210.0,378221.0
SQURPHARMA,2022-07-26,212.0,212.0,210.0,210.5,398887.0
SQURPHARMA,2022-07-27,212.9,212.9,209.2,209.9,249234.0
SQURPHARMA,2022-07-28,209.9,209.9,207.5,208.9,509233.0
SQURPHARMA,2022-07-31,212.0,212.0,209.9,211.5,115935.0
SQURPHARMA,2022-08-01,211.6,211.7,209.8,210.7,370624.0
SQURPHARMA,2022-08-02,211.5,212.9,210.0,212.1,326651.0
SQURPHARMA,2022-08-03,213.0,215.9,212.8,213.4,351735.0
SQURPHARMA,2022-08-04,213.6,216.8,213.0,216.1,590946.0
SQURPHARMA,2022-08-05,225.0,225.0,222.4,223.2,164873.0
SQURPHARMA,2022-08-06,221.3,221.3,217.7,217.9,104815.0
SQURPHARMA,2022-08-07,214.0,216.2,214.0,215.1,277421.0
SQURPHARMA,2022-08-08,215.0,215.0,212.5,213.5,178656.0
SQURPHARMA,2022-08-10,215.0,215.0,211.3,213.1,129413.0
SQURPHARMA,2022-08-11,213.9,214.0,211.0,211.6,74760.0
SQURPHARMA,2022-08-14,212.7,213.7,212.3,213.1,103056.0
SQURPHARMA,2022-08-16,213.0,213.3,212.5,212.8,153858.0
SQURPHARMA,2022-08-17,213.0,213.3,212.2,212.6,352016.0
SQURPHARMA,2022-08-21,213.1,213.1,212.0,213.0,242244.0
SQURPHARMA,2022-08-22,213.3,213.3,212.4,212.6,446686.0
SQURPHARMA,2022-08-23,212.1,215.0,211.7,212.0,749896.0
SQURPHARMA,2022-08-24,212.9,213.0,211.6,211.8,240871.0
SQURPHARMA,2022-08-25,211.8,212.5,210.8,212.0,451233.0
SQURPHARMA,2022-08-28,212.0,213.4,212.0,213.2,475759.0
SQURPHARMA,2022-08-29,214.0,214.0,211.5,212.1,764638.0
SQURPHARMA,2022-08-30,213.0,213.0,211.5,211.9,679855.0
SQURPHARMA,2022-08-31,212.0,213.0,209.9,211.1,892159.0
SQURPHARMA,2022-09-01,213.0,213.0,211.4,211.8,1022201.0
SQURPHARMA,2022-09-02,230.9,231.5,227.2,228.2,401900.0
SQURPHARMA,2022-09-03,215.8,216.4,211.9,214.0,379684.0
SQURPHARMA,2022-09-04,211.8,213.5,211.5,212.6,276442.0
SQURPHARMA,2022-09-05,212.9,213.0,212.2,212.4,312771.0
SQURPHARMA,2022-09-06,212.1,212.6,211.7,212.4,208231.0
SQURPHARMA,2022-09-07,213.0,215.9,210.2,211.9,1377508.0
SQURPHARMA,2022-09-08,213.7,213.7,211.8,212.1,392735.0
SQURPHARMA,2022-09-11,212.8,213.9,211.7,212.7,549551.0
SQURPHARMA,2022-09-12,213.0,213.8,211.8,212.0,496608.0
SQURPHARMA,2022-09-13,212.6,213.0,209.8,210.4,897961.0
SQURPHARMA,2022-09-14,210.5,211.8,209.8,210.4,290143.0
SQURPHARMA,2022-09-15,210.0,211.6,209.8,210.0,309122.0
SQURPHARMA,2022-09-18,210.0,210.0,209.8,209.8,759615.0
SQURPHARMA,2022-09-19,209.8,210.0,209.8,209.8,321353.0
SQURPHARMA,2022-09-20,209.8,211.9,209.8,209.9,953648.0
